=== wgrib2 DRT 3 Inspection Output ===
File: test_data/nam_awip12_drt3.grib2
Date: Thu Jul 23 02:15:14 AM EDT 2026

=== Data Representation Template (DRT) Information ===
    ndata=262792:undef=0:mean=98031.5:min=65664.8:max=103130
    grid_template=30:winds(grid):
	Lambert Conformal: (614 x 428) input WE:SN output WE:SN res 56
	Lat1 12.190000 Lon1 226.541000 LoV 265.000000
	LatD 25.000000 Latin1 25.000000 Latin2 25.000000
	LatSP -90.000000 LonSP 0.000000
	North Pole (614 x 428) Dx 12191.000000 m Dy 12191.000000 m 

3:481603:vt=2025011500:1 hybrid level:anl:RWMR Rain Mixing Ratio [kg/kg]:
    ndata=262792:undef=0:mean=2.1361e-06:min=0:max=0.00039
    grid_template=30:winds(grid):
	Lambert Conformal: (614 x 428) input WE:SN output WE:SN res 56
	Lat1 12.190000 Lon1 226.541000 LoV 265.000000
	LatD 25.000000 Latin1 25.000000 Latin2 25.000000
	LatSP -90.000000 LonSP 0.000000
	North Pole (614 x 428) Dx 12191.000000 m Dy 12191.000000 m 

4:488896:vt=2025011500:1 hybrid level:anl:SNMR Snow Mixing Ratio [kg/kg]:
    ndata=262792:undef=0:mean=1.73468e-06:min=0:max=0.000455
    grid_template=30:winds(grid):

=== Summary ===
DRT (Data Representation Template): 3
Template Name: Grid point data - complex packing
Total messages in file:
196
